Recipe Name,Calories,Personal Points,Image URL,Recipe Keys,Summary,URL
Chicken Stroganoff,Cals:241,2,https://www.skinnytaste.com/wp-content/uploads/2023/08/Chicken-Stroganoff-9-1.jpg,"HP, KF","This quick, family-friendly Chicken Stroganoff recipe is made with ground chicken and mushrooms in a creamy sauce is perfect over egg noodles, veggie noodles, or pasta.",https://www.skinnytaste.com/chicken-stroganoff/
The Best Turkey Meatloaf Recipe,Cals:259,3,https://www.skinnytaste.com/wp-content/uploads/2009/02/turkey-meatloaf-8.jpg,"FM, GF, KF",Turkey meatloaf is a favorite in our house! This healthyground turkey meatloafrecipe is a staple in my home! Easy and delicious.,https://www.skinnytaste.com/turkey-meatloaf-45/
High-Protein Scrambled Eggs with Cottage Cheese,Cals:173,1,https://www.skinnytaste.com/wp-content/uploads/2022/03/High-Protein-Scrambled-Eggs-9.jpg,"HP, LC, Q, V",Add some cottage cheese to your scrambled eggs for an easy high-protein breakfast.,https://www.skinnytaste.com/high-protein-scrambled-eggs-with-cottage-cheese/
Parmesan Zucchini,Cals:108,4,https://www.skinnytaste.com/wp-content/uploads/2025/09/Parmesan-Zucchini-7.jpg,"GF, KF, LC, Q, V","Quick and easy Parmesan Zucchini is the perfect summer side dish! Made in under 10 minutes with garlic and freshly grated Parmesan, this skillet zucchini is tender-crisp, and so delicious.",https://www.skinnytaste.com/parmesan-zucchini/
Instant Pot Spaghetti with Meat Sauce,Cals:530,8,https://www.skinnytaste.com/wp-content/uploads/2017/09/Instant-Pot-Spaghetti-7.jpg,"GF, HP, HF, KF, PC, Q","This heartyInstant Pot Spaghetti and Meat Saucepacksover 30 grams of protein per servingthanks to lean ground turkey and pasta, all cooked together in one pot. Ready in under 30 minutes, it’s the perfect high-protein weeknight dinner with minimal cleanup.",https://www.skinnytaste.com/instant-pot-one-pot-spaghetti-with-meat-sauce/
Cottage Cheese Queso,Cals:94,4,https://www.skinnytaste.com/wp-content/uploads/2025/06/Cottage-Cheese-Queso-Dip-9.jpg,"GF, HP, LC, Q, V","This creamy, cheesy Cottage Cheese Queso Dip is lightened up and high in protein. Perfect for snacking, game day, or drizzling over nachos!",https://www.skinnytaste.com/cottage-cheese-queso/
Creamy Chicken Corn Chowder,Cals:378,2,https://www.skinnytaste.com/wp-content/uploads/2025/09/Chicken-Corn-Chowder-13.jpg,"GF, KF",Pureed corn and mashed potatoes make this chicken corn chowder rich and creamy without being heavy.,https://www.skinnytaste.com/chicken-corn-chowder/
Pozole Rojo Recipe (Made in the Instant Pot!),Cals:365,5,https://www.skinnytaste.com/wp-content/uploads/2014/12/pressurecookerporkposole.jpg,"DF, FM, GF, HF, KF, PC","This easy Instant Pot Pozole Rojo recipe is made with pork, hominy and spices for a hearty, comforting meal.",https://www.skinnytaste.com/pressure-cooker-pozole-pork-and-hominy/
Air Fryer Meatball Subs,Cals:494,8,https://www.skinnytaste.com/wp-content/uploads/2025/09/Air-Fryer-Meatball-Subs-5.jpg,"AF, FM, GF, HP, KF","Air Fryer Meatball Subs are an easy, healthy twist on the classic. Made with homemade meatballs, marinara, and cheese all tucked into a roll for a quick, high-protein dinner your family will love!",https://www.skinnytaste.com/air-fryer-meatball-subs/
Skinnytaste High Protein: Free Bonus Pack,,,https://www.skinnytaste.com/wp-content/uploads/2025/09/Bonus-Pack-1.jpg,,I’m so exciting that in just a few short weeks my new cookbook Skinnytaste High Protein will finally be hitting bookstores!!,https://www.skinnytaste.com/skinnytaste-high-protein-free-bonus-pack/
Apple Butter Recipe (Stovetop),Cals:34,1,https://www.skinnytaste.com/wp-content/uploads/2024/09/Apple-Butter-7.jpg,"DF, GF, KF, V","This homemade apple butter is thick, smooth, and full of warm fall spices—made right on your stovetop. It’s naturally dairy-free and tastes like applesauce taken to the next level: richer, darker, and more flavorful. Enjoy it on toast, pancakes, oatmeal, yogurt bowls, and more!",https://www.skinnytaste.com/apple-butter-recipe/
Free 7 Day Healthy Meal Plan (September 15-21),,,https://www.skinnytaste.com/wp-content/uploads/2025/09/Week_506_Sep15-Sep-21-1.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-september-15-21/
Apple Crisp,Cals:207,6,https://www.skinnytaste.com/wp-content/uploads/2009/09/APPLE-CRISP-11.jpg,"GF, HF, KF, V","This easy Apple Crisp recipe is made with baked apples, cinnamon, honey, and raisins under a golden oat topping. A cozy fall dessert that’s simple, lighter, and always a crowd-pleaser.",https://www.skinnytaste.com/cinnamon-apple-crisp/
Drunken Noodles (Pad Kee Mao),Cals:487,3,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9.jpg,"DF, GF, HP","Spicy, savory, and slightly sweet, this Drunken Noodle recipe is inspired by the popular Thai street food pad kee mao.",https://www.skinnytaste.com/drunken-noodles-with-shrimp/
Pork Milanese with Kale and Apple Salad,Cals:323,7,https://www.skinnytaste.com/wp-content/uploads/2024/12/Pork-Milanese-11.jpg,"AF, GF, HP, HF","This Pork Milanese with kale and apple salad is tossed in a maple mustard vinaigrette for bright flavor—an easy, high-protein fall dinner ready in 30 minutes.",https://www.skinnytaste.com/pork-milanese-with-kale-and-apple-salad/
Pumpkin Lasagna Skillet,Cals:483,11,https://www.skinnytaste.com/wp-content/uploads/2025/09/Pumpkin-Lasagna-Skillet-12.jpg,"FM, HP","This Pumpkin Lasagna Skillet is the ultimate fall dinner—one pan, high protein, and loaded with pasta, pumpkin, cheese, and lean ground turkey.",https://www.skinnytaste.com/pumpkin-lasagna-skillet/
Skinnytaste High Protein Cookbook Tour,,,https://www.skinnytaste.com/wp-content/uploads/2025/05/Skinnytaste-High-Protein-62.jpg,,"I’m so excited to meet you on the Skinnytaste High Protein Book Tour 2025! Join me in select cities across the U.S. for signings, meet & greets, and a first look at my new cookbook.",https://www.skinnytaste.com/skinnytaste-high-protein-book-tour/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/09/Week_505_Sep-8-Sep-14_High_Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-27/
Free 7 Day Healthy Meal Plan (September 1-7),,,https://www.skinnytaste.com/wp-content/uploads/2025/08/Week_504_Sep-1-Sep-7_.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-september-1-7/
How to Make Overnight Oats (No Added Sugar Recipe!),Cals:236,2,https://www.skinnytaste.com/wp-content/uploads/2022/06/Overnight-Oats-14.jpg,"DF, GF, HF, KF, MP, Q, V","Overnight oats in a mason jar, no cooking required! A hearty healthy breakfast packed with fiber, vitamins, and nutrients.",https://www.skinnytaste.com/skinny-overnight-oats-in-jar/
Tomato Sauce (Marcella Hazan-Inspired),Cals:74,2,https://www.skinnytaste.com/wp-content/uploads/2025/08/Tomato-Sauce-3.jpg,"FM, GF, KF, V","This lighter take on Marcella Hazan’s iconic tomato sauce uses high-quality canned tomatoes, a halved onion, and butter for a rich, silky pasta sauce made with just 3 ingredients. Makes enough sauce for 1 pound of pasta.",https://www.skinnytaste.com/tomato-sauce/
Chicken Shawarma Sheet Pan Dinner,Cals:370.5,1,https://www.skinnytaste.com/wp-content/uploads/2025/09/Chicken-Shawarma-Sheet-Pan-Dinner-8.jpg,"DF, FM, GF, HP, MP","Chicken Shawarma Sheet Pan Dinner is a flavorful, high-protein meal made with boneless chicken thighs, chickpeas, and vegetables, all roasted together on one sheet pan for easy cleanup.",https://www.skinnytaste.com/chicken-shawarma-sheet-pan-dinner/
Roasted Zucchini Dip,Cals:66,1,https://www.skinnytaste.com/wp-content/uploads/2025/08/Roasted-Zucchini-Dip-13.jpg,"DF, Q, V","This easy roasted zucchini dip blends roasted zucchini, garlic, tahini, lemon, and dill into a creamy, healthy dip. Perfect with pita, crudités, or as a spread for wraps and sandwiches.",https://www.skinnytaste.com/roasted-zucchini-dip/
Zucchini Cake,Cals:233,8,https://www.skinnytaste.com/wp-content/uploads/2009/08/Pineapple-Zucchini-Cake-with-Cream-Cheese-Frosting-22.jpg,LC,"This moist zucchini cake is sweetened with pineapple and finished with a light cream cheese frosting. A flavorful, crowd-pleasing dessert made with summer zucchini.",https://www.skinnytaste.com/pineapple-zucchini-cake-with-cream/
Blackberry Cobbler,Cals:153.5,6,https://www.skinnytaste.com/wp-content/uploads/2025/08/Blackberry-Cobbler-16.jpg,"FM, V","This lightened-up Blackberry Cobbler is packed with juicy, sweet-tart berries and topped with a golden biscuit crust. A warm, cozy dessert you can enjoy as-is or with a scoop of ice cream or whipped cream.",https://www.skinnytaste.com/blackberry-cobbler/
Free 7 Day Healthy Meal Plan (August 18-24),,,https://www.skinnytaste.com/wp-content/uploads/2025/08/Week_502_Aug-18-Aug-24.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-august-18-24/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/08/Week_503_Aug-25-Aug-31_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-26/
Tex Mex Migas,Cals:326,5,https://www.skinnytaste.com/wp-content/uploads/2023/10/Tex-Mex-Migas-9-edited.jpg,"GF, HF, Q, V","Migas is a popular Tex Mex egg dish made with chopped corn tortillas, cheese, tomatoes, jalapeños, and onions. Serve this recipe with tortillas on the side and garnish with your favorite toppings for an easy breakfast!",https://www.skinnytaste.com/migas/
Fresh Tomato Sauce,Cals:61,1,https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-8.jpg,"DF, FM, GF, KF, LC, V","In the summer, nothing beats homemade fresh tomato sauce made with ripe tomatoes from the garden or farmers’ market—perfect for tossing with your favorite pasta.",https://www.skinnytaste.com/garden-tomato-sauce/
Chicken Taquitos,Cals:254,5,https://www.skinnytaste.com/wp-content/uploads/2025/08/Chicken-Taquitos-7.jpg,"FM, GF, HP, KF, MP","Homemade taquitos are like rolled-up quesadillas—perfect for dipping into salsa. You can make them with corn or flour tortillas (corn has more flavor, but flour is easier to roll). They’re freezer-friendly, so make an extra batch to enjoy later!",https://www.skinnytaste.com/chicken-taquitos/
Teriyaki Salmon Bowl (Air Fryer or Oven),Cals:491,8,https://www.skinnytaste.com/wp-content/uploads/2025/08/Air-Fryer-Teriyaki-Salmon-Bowls-6.jpg,"AF, DF, GF, HP, MP","These Teriyaki Salmon Bowls (air fryer or oven) are served over sticky rice with edamame, and cucumbers for a quick, high protein meal that's incredibly satisfying.",https://www.skinnytaste.com/teriyaki-salmon-bowl-air-fryer-or-oven/
